v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",,,
ham,Ok... Help me ask if she's working tmr a not?,,,
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,,,
ham,(That said can you text him one more time?),,,
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,,,
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",,,
ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
ham,You sure your neighbors didnt pick it up,,,
ham,"Haha yeah I see that now, be there in a sec",,,
ham,I am not having her number sir,,,
ham,Lol now I'm after that hot air balloon!,,,
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore",,,
ham,"Yo, you around? Just got my car back",,,
ham,Come to my home for one last time i wont do anything. Trust me.,,,
ham,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,,,
ham,I'll text now! All creepy like so he won't think that we forgot,,,
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",,,
ham,K..k..i'm also fine:)when will you complete the course?,,,
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,,,
ham,No shoot me. I'm in the docs waiting room. :/,,,
ham,Hello which the site to download songs its urgent pls,,,
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,,,
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",,,
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,,,
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,,,
ham,What your plan for pongal?,,,
ham,"Not yet chikku..going to room nw, i'm in bus..",,,
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",,,
ham,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",,,
ham,\Hey sorry I didntgive ya a a bellearlier hunny,"just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""",,
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,,,
spam,network operator. The service is free. For T & C's visit 80488.biz,,,
ham,Wot u up 2 u weirdo?,,,
ham,Can do lor...,,,
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,,,
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",,,
ham,"Just wondering, the others just took off",,,
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",,,
ham,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... ,,,
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",,,
ham,Sure! I am driving but will reach my destination soon.,,,
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,,,
ham,I tot u reach liao. He said t-shirt.,,,
ham,Your right! I'll make the appointment right now.,,,
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,,,
ham,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,,,
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,,,
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,,,
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,,,
ham,Ok...,,,
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,,,
ham,My exam is for february 4. Wish you a great day.,,,
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,,,
ham,Good Morning plz call me sir,,,
ham,It's ok lar. U sleep early too... Nite...,,,
ham,"Oh... Icic... K lor, den meet other day...",,,
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,,,
ham,Yeah I'll try to scrounge something up,,,
ham,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,,,
ham,"Nothing much, chillin at home. Any super bowl plan?",,,
ham,"Goodnight, sleep well da please take care pa. Please.",,,
ham,Convey my regards to him,,,
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,,,
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",,,
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",,,
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_",,,
ham,Did you try making another butt.,,,
ham,i dnt wnt to tlk wid u,,,
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
ham,All e best 4 ur exam later.,,,
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,,,
ham,Oh k.i think most of wi and nz players unsold.,,,
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",,,
ham,Shall i start from hear.,,,
ham,Where at were hungry too,,,
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,,,
ham,Lmao. Take a pic and send it to me.,,,
ham,Dad went out oredi... ,,,
ham,In fact when do you leave? I think addie goes back to school tues or wed,,,
ham,I am in a marriage function,,,
ham,Stupid.its not possible,,,
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",,,
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",,,
ham,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,,,
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
ham,Take some small dose tablet for fever,,,
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,,,
ham,"I'm a guy, browsin is compulsory",,,
ham,"Sorry, I'll call later",,,
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,,,
ham,Hey gals.. Anyone of u going down to e driving centre tmr?,,,
ham,Host-based IDPS for linux systems.,,,
ham,I need to come home and give you some good lovin...,,,
ham,Are you angry with me. What happen dear,,,
ham,Hi:)cts employee how are you?,,,
ham,No screaming means shouting..,,,
ham,Hey what happen de. Are you alright.,,,
ham,Should I have picked up a receipt or something earlier,,,
ham,Oh dang! I didn't mean o send that to you! Lol!,,,
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
ham,K come to nordstrom when you're done,,,
ham,Now press conference da:),,,
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,,,
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,,,
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",,,
ham,"whatever, im pretty pissed off.",,,
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
ham,No:-)i got rumour that you going to buy apartment in chennai:-),,,
ham,Near kalainar tv office.thenampet,,,
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,,,
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,,,
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,,,
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,,,
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,,,
ham,That's my honeymoon outfit. :),,,
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,,,
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",,,
ham,When you came to hostel.,,,
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,,,
ham,Friends that u can stay on fb chat with,,,
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,,,
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,,,
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,,,
ham,Yesterday its with me only . Now am going home.,,,
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",,,
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",,,
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,,,
ham,"Alright, we're all set here, text the man",,,
ham,I.ll post her out l8r. In class,,,
ham,Thts wat Wright Brother did to fly..,,,
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),,,
ham,S but mostly not like that.,,,
ham,ÌÏ v ma fan...,,,
ham,"Yes..but they said its IT.,",,,
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,,,
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
ham,Okay... We wait ah,,,
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,,,
ham,Cramps stopped. Going back to sleep,,,
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,,,
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,,,
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",,,
ham,Can come my room but cannot come my house cos my house still messy... Haha...,,,
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,,,
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",,,
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,,,
ham,I got your back! Do you have any dislikes in bed?,,,
ham,o turns out i had stereo love on mi phone under the unknown album.,,,
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,,,
ham,Asking do u knw them or nt? May be ur frnds or classmates?,,,
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",,,
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,,,
ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,,,
ham,There bold 2  &lt;#&gt; . Is that yours,,,
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",,,
ham,"I think we're going to finn's now, come",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,
ham,Got it..mail panren paru..,,,
ham,Jus came back fr lunch wif my sis only. U leh?,,,
ham,"Miss ya, need ya, want ya, love ya.",,,
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,,,
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",,,
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,,,
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
ham,How. Its a little difficult but its a simple way to enter this place,,,
ham,Watching tv now. I got new job :),,,
ham,I dun believe u. I thk u told him.,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,How much i gave to you. Morning.,,,
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",,,
ham,Ok lor thanx... ÌÏ in school?,,,
ham,The bus leaves at  &lt;#&gt; ,,,
spam,Todays Voda numbers ending 1225 are selected to receive a å£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,,,
ham,"Aight, I'll ask a few of my roommates",,,
ham,"Now, whats your house # again ? And do you have any beer there ?",,,
ham,Are you going to write ccna exam this week??,,,
ham,Dunno dat's wat he told me. Ok lor...,,,
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,,,
ham,Sent me ur email id soon,,,
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,,,
ham,May i call You later Pls,,,
ham,I have a rather prominent bite mark on my right cheek,,,
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",,,
ham,I am in your office na.,,,
ham,Super da:)good replacement for murali,,,
ham,I dont want to hear philosophy. Just say what happen,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",,,
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,,,
ham,They did't play one day last year know even though they have very good team.. Like india.,,,
ham,K.:)you are the only girl waiting in reception ah?,,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,,,
ham,I'll let you know when it kicks in,,,
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,,,
ham,Today my system sh get ready.all is well and i am also in the deep well,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",,,
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or å£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,,,
ham,"Uh, heads up we don't have THAT much left",,,
ham,I love working from home :),,,
ham,"Sorry, I'll call later",,,
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.,,,
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u ,,,
ham,You want to go? ,,,
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,,,
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,,,
ham,Dont know you bring some food,,,
ham,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,,,
ham,Omg it could snow here tonite!,,,
ham,Carry on not disturbing both of you,,,
ham,What pa tell me.. I went to bath:-),,,
ham,R u over scratching it?,,,
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",,,
ham,Wait 2 min..stand at bus stop,,,
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?,,,
ham,"Aight I'll grab something to eat too, text me when you're back at mu",,,
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",,,
ham,Howz that persons story,,,
ham,2 laptop... I noe infra but too slow lar... I wan fast one,,,
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,,,
ham,Nvm it's ok...,,,
ham,Delhi and chennai still silent.,,,
ham,Lol alright i was thinkin that too haha,,,
spam,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,,,
ham,"Sorry, I'll call later",,,
ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; ",,,
ham,Hey i will be late... i'm at amk. Need to drink tea or coffee,,,
spam,Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm,,,
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,,,
ham,S..antha num corrct dane,,,
ham,The basket's gettin full so I might be by tonight,,,
ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,,,
ham,Have you been practising your curtsey?,,,
ham,Lol boo I was hoping for a laugh,,,
ham,\YEH I AM DEF UP4 SOMETHING SAT,"JUST GOT PAYED2DAY & I HAVBEEN GIVEN Aå£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV\""""",,
ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",,,
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,,,
ham,"Better than bb. If he wont use it, his wife will or them doctor",,,
ham,"Nah man, my car is meant to be crammed full of people",,,
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,,,
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",,,
ham,"Yes, i'm small kid.. And boost is the secret of my energy..",,,
ham,IM GONNA MISS U SO MUCH,,,
ham,Simply sitting and watching match in office..,,,
ham,Hey are we going for the lo lesson or gym? ,,,
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",,,
ham,ÌÏ dun wan to watch infernal affair?,,,
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,
ham,No de. But call me after some time. Ill tell you k,,,
ham,So dont use hook up any how,,,
ham,How much is blackberry bold2 in nigeria.,,,
ham,Hi where you. You in home or calicut?,,,
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,,,
ham,Y so late but i need to go n get da laptop...,,,
ham,"Sir, I am waiting for your mail.",,,
ham,.Please charge my mobile when you get up in morning.,,,
ham,Ugh fuck it I'm resubbing to eve,,,
ham,I did. One slice and one breadstick. Lol,,,
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",,,
ham,Is there any training tomorrow?,,,
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,,,
ham,Cos daddy arranging time c wat time fetch Ì_ mah...,,,
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,,,
ham,Good night my dear.. Sleepwell&amp;Take care,,,
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,,,
ham,Must come later.. I normally bathe him in da afternoon mah..,,,
ham,"Trust me. Even if isn't there, its there.",,,
ham,I can take you at like noon,,,
ham,I'm aight. Wat's happening on your side.,,,
ham,I'm done oredi...,,,
ham,How are you. Wish you a great semester,,,
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",,,
ham,I fetch yun or u fetch?,,,
ham,Thank you. I like you as well...,,,
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",,,
ham,Lara said she can loan me  &lt;#&gt; .,,,
ham,"It's that time of the week again, ryan",,,
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",,,
ham,Do you know when the result.,,,
ham,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",,,
ham,Well I'm going to be an aunty!,,,
ham,Mine here like all fr china then so noisy.,,,
ham,If he started searching he will get job in few days.he have great potential and talent.,,,
ham,Well done and ! luv ya all ,,,
ham,But i juz remembered i gotta bathe my dog today..,,,
ham,After the drug she will be able to eat.,,,
ham,Alright took the morphine. Back in yo.,,,
ham,You stayin out of trouble stranger!!saw Dave the other day heåÕs sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,,,
ham,"The table's occupied, I'm waiting by the tree",,,
ham,I surely dont forgot to come:)i will always be in touch in with you:-),,,
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI,,,
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. ,,,
ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,,,
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,,,
ham,Is she replying. Has boye changed his phone number,,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,,,
ham,I'm not coming home 4 dinner.,,,
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",,,
ham,I'm at work. Please call,,,
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",,,
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,,,
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",,,
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,,,
ham,I called but no one pick up e phone. I ask both of them already they said ok.,,,
ham,I'm in a movie. Call me 4 wat?,,,
ham,Not sure I have the stomach for it ...,,,
ham,Haha... can... But i'm having dinner with my cousin...,,,
ham,soon you will have the real thing princess! Do i make you wet? :),,,
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",,,
ham,Ok then i'll let him noe later n ask him call u tmr...,,,
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,,,
ham,What's your room number again? Wanna make sure I'm knocking on the right door,,,
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",,,
ham,U buy newspapers already?,,,
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,,,
ham,Lol enjoy role playing much?,,,
ham,I just lov this line: \Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But," Never comfort me with a lie\"" gud ni8 and sweet dreams"""
ham,Did you show him and wot did he say or could u not c him 4 dust?,,,
ham,It should take about  &lt;#&gt;  min,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,U know we watchin at lido?,,,
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?",,,
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,,,
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,,,
spam,You have 1 new message. Please call 08718738034.,,,
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,,,
ham,Nothin comes to my mind. ÌÏ help me buy hanger lor. Ur laptop not heavy?,,,
ham,Should I be stalking u?,,,
ham,Ok lor.,,,
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
spam,"URGENT! Your mobile number *************** WON a å£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",,,
ham,We are both fine. Thanks,,,
ham,Which is weird because I know I had it at one point,,,
ham,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\""""",,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
ham,Yar else i'll thk of all sorts of funny things.,,,
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,,,
